planet_name,orbital_period_days,transit_midpoint_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,equilibrium_temp_k,insolation_earthflux,stellar_teff_k,stellar_radius_sun,stellar_logg_cgs,ra_deg,dec_deg,source
K00790.01,8.47237911,174.16212,2.7245,1123.5,2.59,751.0,75.44,5354.0,0.788,4.587,296.36652,51.319519,Kepler
K00790.02,60.4189369,181.16367,5.039,931.3,2.36,390.0,5.49,5354.0,0.788,4.587,296.36652,51.319519,Kepler
K00791.01,12.611904345,180.892284,5.1497,6105.6,7.4,753.0,76.15,5795.0,0.919,4.508,289.11221,51.737381,Kepler
K00792.01,1.433769925,170.403536,1.8868,1976.3,46.58,1920.0,3209.29,6017.0,1.339,4.22,290.84369,37.728828,Kepler
K00793.01,10.31872301,173.31543,3.836,871.7,28.59,876.0,139.26,5927.0,1.06,4.409,291.84891,37.713501,Kepler
K00794.01,2.539183147,169.67494,2.4282,382.1,2.06,1332.0,743.09,5519.0,1.062,4.35,291.43997,37.905659,Kepler
K00795.01,6.770300385,170.57662,2.0844,1304.0,2.77,812.0,102.87,5653.0,0.679,4.656,290.87051,38.273628,Kepler
K00796.01,0.444291966,169.865406,2.0792,10967.0,27.51,1836.0,2706.26,5255.0,0.636,4.678,290.99689,38.28492,Kepler
K00797.01,10.181584004,177.141891,3.5089,5741.1,7.73,812.0,102.91,5988.0,0.836,4.541,291.28195,38.241669,Kepler
K00812.02,20.06036336,147.46554,3.3203,1494.7,1.96,361.0,4.0,3950.0,0.493,4.754,286.07913,39.27832,Kepler
K00812.03,46.1842039,165.23729,4.758,1394.7,1.83,273.0,1.32,3950.0,0.493,4.754,286.07913,39.27832,Kepler
K00116.04,23.9800854,147.537,5.351,104.0,1.31,649.0,41.94,5854.0,1.012,4.406,300.86398,44.337551,Kepler
K00812.04,7.82502168,136.54995,2.186,520.8,1.2,494.0,14.05,3950.0,0.493,4.754,286.07913,39.27832,Kepler
K00813.01,3.895936525,170.527552,2.3111,8544.8,7.34,1005.0,241.62,5557.0,0.774,4.592,294.65524,39.308361,Kepler
K00814.01,22.36646466,175.45862,5.228,986.8,2.32,536.0,19.45,5395.0,0.734,4.615,294.71063,39.52174,Kepler
K00801.01,1.625522174,170.8266564,2.38963,7969.0,9.73,1579.0,1467.41,5539.0,1.106,4.322,293.87192,38.422939,Kepler
K00802.01,19.620346923,181.881819,2.0038,21725.0,13.6,643.0,40.39,5710.0,0.905,4.492,293.81619,38.563568,Kepler
K00803.01,7.544039,171.7982,6.222,322.6,17.47,838.0,116.46,5657.0,0.824,4.567,293.94116,38.601101,Kepler
K00804.01,9.02930689,177.20422,3.1449,1019.8,2.57,757.0,77.75,5349.0,0.82,4.526,290.33362,38.72823,Kepler
K00805.01,10.328035714,174.581054,7.7915,16918.0,13.28,843.0,119.31,5627.0,1.024,4.359,287.69675,38.886452,Kepler
K00806.01,143.2063047,154.23552,8.9302,10566.0,8.9,308.0,2.14,5485.0,0.867,4.556,285.28363,38.947281,Kepler
K00116.03,6.164876,135.63916,3.262,55.8,0.79,1021.0,256.35,5854.0,1.012,4.406,300.86398,44.337551,Kepler
K00806.02,60.32494216,243.892578,6.6188,20280.0,12.19,411.0,6.77,5485.0,0.867,4.556,285.28363,38.947281,Kepler
K00806.03,29.1598615,150.69922,4.803,488.0,1.91,524.0,17.85,5485.0,0.867,4.556,285.28363,38.947281,Kepler
K00807.01,1.540397253,170.50479,2.1541,816.1,25.69,1470.0,1105.68,5663.0,0.915,4.53,286.92639,38.921631,Kepler
K00808.01,2.99025443,171.9834,5.414,589.2,1.7,918.0,168.45,4667.0,0.731,4.578,287.74881,38.92955,Kepler
K00809.01,1.594745374,170.6483505,1.9604,15044.0,11.3,1539.0,1329.42,5934.0,0.893,4.491,285.21381,39.027481,Kepler
K00810.01,4.783002698,170.508434,2.335,1008.7,2.5,886.0,145.48,5170.0,0.807,4.574,287.09399,39.060719,Kepler
K00811.01,20.50588921,181.43428,4.0595,2105.5,3.41,518.0,17.06,4905.0,0.761,4.544,289.31543,39.153278,Kepler
K00812.01,3.340218842,171.979062,1.9104,1632.6,2.03,656.0,43.73,3950.0,0.493,4.754,286.07913,39.27832,Kepler
K00828.01,2.507089906,171.002455,2.0067,1339.2,30.26,1326.0,730.47,5926.0,0.939,4.506,295.37805,40.493401,Kepler
K00829.01,18.64932728,174.771,4.4056,893.6,3.12,701.0,57.13,5775.0,1.053,4.405,290.46176,40.562462,Kepler
K00117.02,4.90144976,138.60548,4.1654,140.7,1.7,1262.0,598.74,5847.0,1.402,4.191,297.02826,48.208611,Kepler
K00829.02,9.75192101,138.78608,4.793,418.0,2.76,870.0,135.66,5775.0,1.053,4.405,290.46176,40.562462,Kepler
K00829.03,38.5576546,163.85063,5.794,993.0,4.02,550.0,21.71,5775.0,1.053,4.405,290.46176,40.562462,Kepler
K00830.01,3.525632539,170.0479951,2.59959,22335.0,11.58,975.0,213.12,5150.0,0.793,4.572,290.58173,40.5774,Kepler
K00815.01,34.84398644,172.633252,2.9315,4523.6,7.61,511.0,16.1,5509.0,0.871,4.482,285.92001,39.624828,Kepler
K00816.01,7.748094239,174.997206,3.5957,2472.1,5.52,964.0,204.39,5973.0,1.085,4.439,294.4899,39.771439,Kepler
K00817.01,23.96793669,186.22182,3.827,1182.3,1.8,329.0,2.77,3747.0,0.524,4.728,283.86639,39.898079,Kepler
K00817.02,8.29561738,135.79284,1.3421,824.3,1.82,469.0,11.39,3747.0,0.524,4.728,283.86639,39.898079,Kepler
K00818.01,8.11437482,176.33968,2.2736,1558.0,2.1,460.0,10.55,3692.0,0.517,4.753,288.81201,40.033401,Kepler
K00819.01,38.036729482,196.934947,4.34617,82872.0,27.5,500.0,14.81,5575.0,0.932,4.521,294.14789,40.055538,Kepler
K00820.01,4.64090031,173.64638,35.512,2450.6,30.09,1155.0,421.08,6463.0,0.826,4.5,295.11371,40.071171,Kepler
K00011.01,3.747838198,171.66504,5.0642,616.0,13.65,1031.0,266.76,5514.0,0.826,4.569,291.06152,50.265129,Kepler
K00117.01,14.74914825,138.77799,6.0995,430.2,2.89,874.0,137.91,5847.0,1.402,4.191,297.02826,48.208611,Kepler
